sha256,App_name,Number of category
5D1F47332D822EC004398F026DE1BA3E0916C3DA08E03BE3FB3526138E7C7D86,UBA Mobile,4
142BFD5B18FE40FB4D0A1A0BC0536D8DD5FC6BB8388A22F05A9F41EA76D4332F,Citi Mobile,6
CA280A15158E48732FDD6E2A7BB8BB5660C0D894E527023A82AC2AC95CE8C7B8,CBAO Mobile,6
03179908FDEA24A6099346BFD46E1BCB37AE17844F872119B35E82E811015ED0,BMSKIBARU,6
6483E3367566EDE99E5568718839BC20BEDC0863E11756100811560D332514AF,MyBOA,6
AD764F407352E7B6DDF881A8C0A890804C790F2448E7AF740CB88714C033EDFA,SC CI,6
F912B700A9B5A79E976FB98AFBB2479C44AAE926E6389CC302002BEBE1E53BB1,BNIONLINE,7
C2B07AC292FD3B82FED2A5A9DD3409D79246B6528722A889AA0F8E3288B1268B,MyBOA,5
E5BD78C7E974AB77CE8BEBDA9C7AB7521C875518A6F16002B064668A93ABBDAE,BAO MOBILE,5
90CDE6A80D5E70EECC324434B1790F8169FEEF1265336BE78D2FDA64B84C6C07,Redd by UBA,4
D181037A54EF2F8D6598F912931D1B848EB5B650567BEE1C1DBC640C668C8893,MyBOA,4
312C608C871E9AC7D3FA44CD2F24E858B498F07C74E523689FD88E2615D99F51,SIBNET,3
935FFC887D1E131023D4188E54692004B6C1BF0E1883FA09A612AB6641F8BDF9,Citi Mobile,5
821241A9A898C4A7476AE5E4294831C59F35CB9576E26B786FD8F924C4BBF3E0,Orange Bank,6
7F678241A28B0CBC11ED54C40CDC2CF7AD353BF3B20BDD4EF4A41C64C52C5930,Versus Mobile Banking,5
F0A7A5AE39B85A18B38AC60AE8CE860F7B7BC24F1C847EA9B188362D9B6BDDD4,Standard Bank,6
3D1B1B3671DFA673AA7656ABF93C42C65742DBD7CB07A3BA9631084215F74C41,BAO MOBILE,7
A6EC372752DABC278C475734382CBAFEE71093D22EBD438D7853542DE6C33949,Versus Mobile Banking,6
0487FBA32C4057949786F072BFA245CE38A7E4254C76DA5D35E726D552839D82,FBNMobile Senegal,3
EABC387B7321F445F3B5B8CD3F2510343AE2377BD561EF252CC64C3D5B869CC0,Outarde,5
