"sha256"," sha1"," md5"," dex_date"," apk_size"," pkg_name"," vercode"," vt_detection"," vt_scan_date"," dex_size"," added"," markets"
"AADE1A71AAA68469952127005BC370C581571BD7EFE84EE75C4DB2AC213DC526","A4765E9FBF18B87A9544B162E934480F71AEFCE2","908C47B26D8507034561F2FD861C3F41","1981-01-01 01:01:02","10279943","com.alizzawallet","10","0","2022-01-29 07:57:57","8628032","2021-12-30 01:23:16.530757","play.google.com'"
"CC487F593661C1F342B3EF7B68B2AAC9CA50201BDA31611EB50BE8DCB3D615AF","A66648DB4AC40B47DB173AF141978F46963BC650","B84770327C0F5D04C3E8459C4BC16850","1981-01-01 01:01:02","10150401","com.alizzawallet","16","0","2022-04-21 12:08:57","8650896","2022-03-23 02:34:15.72046","play.google.com'"
"DB34AFDE9E0016050188538791CEF5431704571A9F5C08C4569AE8624901913C","353BC62F47A9DD1E7D4017A607CAD81640DE9E63","81A9AB04F99820F324CEC449777FDA05","1981-01-01 01:01:02","10296327","com.alizzawallet","12","0","2022-02-25 09:28:14","8652720","2022-01-26 22:52:50.355384","play.google.com'"
"659440B717EC6C627F1D3507970E08AE88436F5848CF02390E587917E1DD9433","7C4F7492216D9EF65C730E19565C58C55C7AA3B8","EAE34B5403FAEB883B1F501D6E6EFA87","1980-01-01 00:00:00","6054814","com.tout4web.components","240","0","2020-08-02 11:34:16","6754520","2020-06-25 08:40:22.330117","play.google.com'"
"B1C28E979F766F721C2460C6F909378BC6E45F0E187E9774BC516DE6637D7D2D","FDDAA1963F20143D447263A672BF4DBA40B6FB60","B698D82B33C3F57AFCC62BD270FF1715","1980-01-01 00:00:00","6104955","com.tout4web.components","270","0","2022-10-22 13:44:50","6811660","2022-09-06 07:51:49.455872","play.google.com'"
"1E3F80E07FF3C35FABE1E87CD7D42B864F95DBAF99D43428778CF38423268570","182D13D092C3087B0CA5770CDCF4496E46A1DC8C","ADB98FC5853001CFB2A76C7E73E19473","1980-01-01 00:00:00","5053096","com.tout4web.marchant","140","0","2020-08-02 11:33:22","6752988","2020-06-25 08:46:31.344851","play.google.com'"
"6E89548078301A2FF297D373BA2E343473C23CC8232C0D01080FCDEF4985B954","BF6E719EE5FEECA8BB133990B023304B74E5EED6","C21EAA5217D08B796A37547FC5134A78","1980-01-01 00:00:00","5065626","com.tout4web.marchant","170","0","2022-10-18 08:20:26","6765368","2022-08-31 04:45:31.537418","play.google.com'"
"44F0FAA505A5F4D7B8F3EB1BDC6339F7D0832F66D0ACB0415F5EADADEC6FA932","542D1106674BBFD57F8EB84312FA408E3D6A979B","778B32557B12B34814067396B04C30B1","1981-01-01 01:01:02","10520580","net.banqueatlantique.mbanking","62","0","2022-09-30 12:09:58","5421368","2022-07-27 13:18:36.160101","play.google.com'"
"67719E4F62E94FD50121C802C2F30088D7895E5AEE5F87282C65A32632262B26","178F387AC6C391DB711B9568248B2F6BF03409C7","5791C6B2F24099B079D5A4975560721B","1981-01-01 01:01:02","10520580","net.banqueatlantique.mbanking","56","0","2022-01-12 09:35:32","5421452","2021-12-13 20:11:03.620074","play.google.com'"
"6CE190F602A3291EBA3B44877B0EA776F77191A5768D4D53E38A8988DA957916","AE163EDABEC1CAB277076F12CAD967D5A10DC730","06430BEC882416BE238AD99E9C1B9E22","1981-01-01 01:01:02","5709584","net.banqueatlantique.mbanking","47","0","2021-10-14 07:52:41","4471320","2021-09-14 06:43:36.472341","play.google.com'"
